approx,basic_nvbt601,basic_nvbt709,basic_intel601,basic_intel709,fma_nvbt601,fma_nvbt709,fma_intel601,fma_intel601fp16,fma_intel709
0.394512,0.107715,0.0955374,0.123646,0.0953679,0.132722,0.0955374,0.123646,0.124041,0.0953679
0.531526,0.130392,0.118233,0.119911,0.11896,0.200873,0.118233,0.119911,0.115819,0.11896
0.418859,0.10459,0.0992872,0.0649926,0.101015,0.179454,0.0992872,0.0649926,0.06488,0.101015
0.43892,0.163824,0.156291,0.100575,0.15583,0.206357,0.156291,0.100575,0.117258,0.15583
0.494063,0.160177,0.151376,0.106487,0.151373,0.196203,0.151376,0.106487,0.108211,0.151373
0.363932,0.119311,0.110209,0.0948725,0.110457,0.164034,0.110209,0.0948725,0.0964709,0.110457
0.698648,0.19666,0.184879,0.160097,0.184043,0.221766,0.184879,0.160097,0.163465,0.184043
0.369938,0.106806,0.100382,0.101811,0.101267,0.168287,0.100382,0.101811,0.100269,0.101267
0.597718,0.106476,0.0967294,0.0873679,0.0984762,0.189083,0.0967294,0.0873679,0.0909978,0.0984762
0.565744,0.132244,0.124329,0.086861,0.124408,0.1902,0.124329,0.086861,0.086676,0.124408
0.479985,0.079452,0.0776748,0.0291463,0.0786463,0.150935,0.0776748,0.0291463,0.0306718,0.0786463
0.132111,0.0718262,0.0718262,0.0198768,0.073913,0.143612,0.0718262,0.0198768,0.00224006,0.073913
0.393422,0.0801541,0.0767738,0.0596868,0.0777941,0.147866,0.0767738,0.0596868,0.0606274,0.0777941
1.05299,0.207851,0.194599,0.143112,0.189413,0.139062,0.194599,0.143112,0.144017,0.189413
0.447659,0.116279,0.109624,0.0826641,0.110585,0.174913,0.109624,0.0826641,0.0830204,0.110585
0.317961,0.0891271,0.0834852,0.0906869,0.0840853,0.139011,0.0834852,0.0906869,0.0917337,0.0840853
0.472979,0.14863,0.132337,0.157974,0.132013,0.168774,0.132337,0.157974,0.158614,0.132013
0.881691,0.247972,0.246305,0.0657861,0.237572,0.156537,0.246305,0.0657861,0.101813,0.237572
0.409225,0.229371,0.211347,0.218208,0.213264,0.302857,0.211347,0.218208,0.221468,0.213264
0.701842,0.193793,0.180341,0.172372,0.181932,0.278061,0.180341,0.172372,0.17172,0.181932
0.442167,0.291488,0.28839,0.065518,0.280652,0.159837,0.28839,0.065518,0.0882326,0.280652
1.07503,0.0650494,0.0636022,0.0427726,0.0608418,0.154732,0.0636022,0.0427726,0.0436965,0.0608418
0.338283,0.18098,0.166696,0.147956,0.168359,0.247638,0.166696,0.147956,0.147353,0.168359
0.772483,0.168066,0.158842,0.139195,0.156278,0.181516,0.158842,0.139195,0.139549,0.156278
0.292298,0.06756,0.0673341,0.0207845,0.0691699,0.142676,0.0673341,0.0207845,0.0261998,0.0691699
0.978146,0.157377,0.141857,0.152148,0.139295,0.137511,0.141857,0.152148,0.150412,0.139295
0.877565,0.108045,0.106039,0.0580648,0.10236,0.157354,0.106039,0.0580648,0.0521358,0.10236
0.400804,0.177501,0.164954,0.129007,0.165137,0.220315,0.164954,0.129007,0.130303,0.165137
0.741048,0.104915,0.0915831,0.111373,0.0907732,0.135793,0.0915831,0.111373,0.110689,0.0907732
0.67978,0.145489,0.13828,0.0967121,0.136603,0.16357,0.13828,0.0967121,0.0928453,0.136603
0.254714,0.0546363,0.054971,0.0297797,0.0567584,0.127403,0.054971,0.0297797,0.0455947,0.0567584
0.334052,0.152129,0.142249,0.10478,0.143661,0.21297,0.142249,0.10478,0.105198,0.143661
0.610086,0.0687574,0.0666789,0.0436562,0.0669056,0.140435,0.0666789,0.0436562,0.0473683,0.0669056
0.374844,0.0953536,0.0911727,0.0537394,0.0931934,0.170282,0.0911727,0.0537394,0.0514282,0.0931934
0.537301,0.107466,0.102574,0.0641073,0.102686,0.161177,0.102574,0.0641073,0.06713,0.102686
0.738656,0.265598,0.249603,0.237206,0.247876,0.245053,0.249603,0.237206,0.236925,0.247876
0.594925,0.0871692,0.084851,0.0419346,0.0841588,0.148394,0.084851,0.0419346,0.0415445,0.0841588
0.56857,0.106393,0.104712,0.048145,0.103346,0.155932,0.104712,0.048145,0.0609348,0.103346
0.277518,0.0682085,0.0651705,0.0565895,0.066748,0.135269,0.0651705,0.0565895,0.0578802,0.066748
0.469541,0.0562846,0.0559784,0.0265233,0.0573442,0.137864,0.0559784,0.0265233,0.0398311,0.0573442
0.795282,0.0749978,0.0682073,0.0666832,0.0684464,0.145159,0.0682073,0.0666832,0.0661336,0.0684464
0.430921,0.0927431,0.0890719,0.068105,0.0896672,0.151898,0.0890719,0.068105,0.0715933,0.0896672
0.417192,0.153306,0.143508,0.118131,0.144845,0.215963,0.143508,0.118131,0.119062,0.144845
0.809154,0.116796,0.111868,0.0773589,0.109413,0.134779,0.111868,0.0773589,0.0751128,0.109413
0.389315,0.368738,0.337648,0.357431,0.339067,0.401956,0.337648,0.357431,0.357187,0.339067
0.644774,0.165701,0.153667,0.163481,0.155378,0.256107,0.153667,0.163481,0.16397,0.155378
